UPM,VIV_SEL,HOGAR,P4_1_1,P4_1_2,P4_1_3,P4_1_4,P4_1_5,P4_1_6,P4_2_1,P4_2_2,P4_2_3,P4_3,P4_3A,P4_4,P4_5,P4_6_1,P4_6_2,P4_6_3,P4_6_4,P4_6_5,P4_6_6,P4_6A,P4_7_1,P4_7_2,P4_7_3,P4_7_4,P4_7A,P4_8,P4_8A,P5_1,P5_2_1,P5_2_2,P5_3_1,P5_3_2,P5_4,P5_4A,P5_5,P5_6_1,P5_6_2,P5_6_3,P5_6_4,P5_6_5,P5_7_1,P5_8_1,P5_9_1,P5_10_1,P5_7_2,P5_8_2,P5_9_2,P5_10_2,P5_7_3,P5_8_3,P5_9_3,P5_10_3,P5_7_4,P5_8_4,P5_9_4,P5_10_4,P5_7_5,P5_8_5,P5_9_5,P5_10_5,P5_7_6,P5_8_6,P5_9_6,P5_7_7,P5_8_7,P5_9_7,P5_7_8,P5_8_8,P5_9_8,P5_11_1,P5_11_2,P5_11_3,FAC_HOG,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO
0360013,15,01,2,1,2,1,1,2,2,2,1,,,1,1,2,2,1,2,2,2,,,,,,,,,1,2,1,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,200,,2,,,1,300,,1,1,3,99,00233,020,R,4,1
0400907,05,01,2,2,2,1,1,2,2,2,1,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,1,1,1,1,1,2,2,,,,1,600,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,2,1,2,261,00300,028,U,1,1
0400907,01,01,1,1,2,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,229,,2,,,2,,,3,1,3,261,00300,028,U,1,1
0400907,02,01,2,1,2,2,1,1,2,2,2,1,,2,,,,,,,,,,,,,,1,,1,1,2,1,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,150,,2,,,2,,,3,1,3,261,00300,028,U,1,1
0400907,03,01,2,2,2,1,2,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,00300,028,U,1,1
0400982,03,01,2,2,2,1,1,2,2,1,1,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,500,,,2,,,,2,,,2,,,2,,,1,1,3,867,00301,029,U,1,2
0400982,04,01,1,1,2,2,1,2,2,2,2,3,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,270,,2,,,2,,,3,1,3,867,00301,029,U,1,2
0401445,16,01,2,2,2,1,2,2,2,2,2,3,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,130,,2,,,2,,,3,2,3,225,00318,025,U,3,1
0401445,17,01,2,1,2,1,1,2,2,1,2,,,2,,,,,,,,,,,,,,1,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,150,,2,,,2,,,3,1,3,225,00318,025,U,3,1
0401445,11,01,2,1,2,1,1,2,2,1,2,,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,130,,2,,,2,,,3,1,3,225,00318,025,U,3,1
0401445,12,01,2,1,2,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,130,,2,,,2,,,3,1,3,225,00318,025,U,3,1
0401445,13,01,2,2,2,1,1,2,2,2,1,,,2,,,,,,,,,,,,,,2,,2,,,,,4,PORQUE NO ESTÁ SATISFECHO CON EL SERVICIO,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,225,00318,025,U,3,1
0401445,14,01,2,2,2,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,120,,2,,,2,,,3,1,3,225,00318,025,U,3,1
0401445,07,01,2,1,2,1,1,2,2,2,2,2,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,135,,2,,,2,,,3,1,3,225,00318,025,U,3,1
0401445,08,01,2,2,2,1,1,2,1,1,2,,,1,1,2,2,1,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,150,,2,,,1,250,,2,2,3,225,00318,025,U,3,1
0401445,09,01,2,1,2,2,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,140,,2,,,2,,,3,1,3,225,00318,025,U,3,1
0260387,05,01,2,2,2,1,1,2,2,1,2,,,1,3,2,1,2,2,2,2,,1,2,2,2,,,,1,2,1,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,319,,2,,,1,340,,1,2,3,378,00176,010,R,4,2
0260387,09,01,1,2,2,2,1,2,2,2,2,3,,2,,,,,,,,,,,,,,3,,2,,,,,1,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,378,00176,010,R,4,2
0260387,15,01,2,1,2,2,1,2,2,2,2,4,,2,,,,,,,,,,,,,,1,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,210,,2,,,2,,,3,2,3,378,00176,010,R,4,2
0260387,10,01,2,2,2,2,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,378,00176,010,R,4,2
0260387,19,01,2,1,2,2,2,2,2,2,2,3,,2,,,,,,,,,,,,,,1,,1,1,2,2,2,,,2,2,1,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,9999,,2,,,2,,,3,1,3,378,00176,010,R,4,2
0260387,20,01,1,1,2,2,1,2,2,2,2,4,,2,,,,,,,,,,,,,,2,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,378,00176,010,R,4,2
0260387,04,01,1,1,1,2,1,2,2,2,1,,,1,3,1,2,2,2,2,2,,1,2,2,2,,,,1,1,2,2,2,,,1,1,1,1,1,2,2,,,,2,,,,2,,,,2,,,,1,400,,,1,400,,2,,,2,,,1,1,1,378,00176,010,R,4,2
0260396,10,01,2,1,2,1,1,2,2,1,2,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,550,,,2,,,,2,,,2,,,2,,,1,1,3,500,00177,010,R,4,2
0301032,18,01,1,2,1,1,1,1,2,1,2,,,1,1,1,2,2,2,2,2,,,,,,,,,1,2,1,2,2,,,1,1,1,1,1,2,2,,,,2,,,,2,,,,2,,,,1,800,,,1,450,,2,,,2,,,1,2,1,401,00219,018,U,2,4
0301032,01,01,1,1,1,1,1,2,1,1,2,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,530,,,2,,,,2,,,2,,,2,,,1,1,3,401,00219,018,U,2,4
0360011,01,01,2,2,2,1,1,2,2,2,2,5,,2,,,,,,,,,,,,,,7,NO ES SU CASA PROPIA,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,210,,2,,,2,,,3,1,3,153,00232,020,R,4,1
