K_EMPRESA,ANIO,MES,FOLIO,FECHA,CONCESIONARIO,EMPRESA,L_TOTAL_E,L_PREPAGO_E,L_POSPAGOC_E,L_POSPAGOL_E,K_GRUPO,GRUPO
C263,2015,6,100388,15-jun-15,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,493,223","691,887","1,801,336",,G005,IUSACELL-UNEFÓN
C263,2015,7,100388,15-jul-15,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,468,955","629,985","1,838,970",,G005,IUSACELL-UNEFÓN
C263,2015,8,100388,15AUG2015,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,453,467","619,768","1,833,699",,G005,IUSACELL-UNEFÓN
C263,2015,9,100388,15-sep-15,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",IUSACELL,"2,346,963","579,791","1,767,172",,G005,IUSACELL-UNEFÓN
C378,2019,1,100418,15JAN2019,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,"2,962","2,962",,,G008,MEGACABLE-MCM
C378,2019,2,100418,15-feb-19,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,"25,469","25,469",,,G008,MEGACABLE-MCM
C378,2019,3,100418,15-mar-19,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,"21,501","21,501",,,G008,MEGACABLE-MCM
C378,2019,4,100418,15APR2019,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,"12,020","12,020",,,G008,MEGACABLE-MCM
C378,2019,5,100418,15-may-19,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,"12,020","12,020",,,G008,MEGACABLE-MCM
C378,2019,6,100418,15-jun-19,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,"12,020","12,020",,,G008,MEGACABLE-MCM
C378,2019,7,100418,15-jul-19,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,"1,833","1,833",,,G008,MEGACABLE-MCM
C378,2019,8,100418,15AUG2019,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,"1,682","1,682",,,G008,MEGACABLE-MCM
C378,2019,9,100418,15-sep-19,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,"1,541","1,541",,,G008,MEGACABLE-MCM
C378,2019,10,100418,15-oct-19,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,"1,294","1,294",,,G008,MEGACABLE-MCM
C378,2019,11,100418,15-nov-19,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,"1,329","1,329",,,G008,MEGACABLE-MCM
C378,2019,12,100418,15DEC2019,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,"4,127","4,127",,,G008,MEGACABLE-MCM
C657,2013,1,100520,15JAN2013,"SERVICIOS DE ACCESO INALAMBRICOS, S.A. DE C.V.",SAI,646,646,,,C657,SAI
C657,2013,2,100520,15-feb-13,"SERVICIOS DE ACCESO INALAMBRICOS, S.A. DE C.V.",SAI,646,646,,,C657,SAI
C657,2013,3,100520,15-mar-13,"SERVICIOS DE ACCESO INALAMBRICOS, S.A. DE C.V.",SAI,648,648,,,C657,SAI
C657,2013,4,100520,15APR2013,"SERVICIOS DE ACCESO INALAMBRICOS, S.A. DE C.V.",SAI,648,648,,,C657,SAI
C657,2013,5,100520,15-may-13,"SERVICIOS DE ACCESO INALAMBRICOS, S.A. DE C.V.",SAI,648,648,,,C657,SAI
C657,2013,6,100520,15-jun-13,"SERVICIOS DE ACCESO INALAMBRICOS, S.A. DE C.V.",SAI,648,648,,,C657,SAI
C657,2013,7,100520,15-jul-13,"SERVICIOS DE ACCESO INALAMBRICOS, S.A. DE C.V.",SAI,648,648,,,C657,SAI
C657,2013,8,100520,15AUG2013,"SERVICIOS DE ACCESO INALAMBRICOS, S.A. DE C.V.",SAI,648,648,,,C657,SAI
C657,2013,9,100520,15-sep-13,"SERVICIOS DE ACCESO INALAMBRICOS, S.A. DE C.V.",SAI,648,648,,,C657,SAI
C657,2013,10,100520,15-oct-13,"SERVICIOS DE ACCESO INALAMBRICOS, S.A. DE C.V.",SAI,648,648,,,C657,SAI
C657,2013,11,100520,15-nov-13,"SERVICIOS DE ACCESO INALAMBRICOS, S.A. DE C.V.",SAI,648,648,,,C657,SAI
