,movie_name,movie_year,movie_runtime,movie_rating,movie_metascore,movie_genre,movie_votes,movie_gross,movie_certificate,movie_synopsis,gen_1,gen_2,gen_3
351,Guardians of the Galaxy,2014,121,8,76,"Action, Adventure, Comedy            ","1,067,494",333.18,PG-13,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Action,Adventure,Comedy
12,Forrest Gump,1994,142,8.8,82,"Drama, Romance            ","1,857,557",330.25,PG-13,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Drama,Romance,
727,Deadpool 2,2018,119,7.7,66,"Action, Adventure, Comedy            ","500,083",324.59,R,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",Action,Adventure,Comedy
29,Star Wars: Episode IV - A New Hope,1977,121,8.6,90,"Action, Adventure, Fantasy            ","1,253,752",322.74,PG,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Action,Adventure,Fantasy
509,Iron Man,2008,126,7.9,79,"Action, Adventure, Sci-Fi            ","961,795",318.41,PG-13,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Action,Adventure,Sci-Fi
954,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,"Adventure, Family, Fantasy            ","677,629",317.58,PG,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Adventure,Family,Fantasy
11,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"Action, Adventure, Drama            ","1,697,602",315.54,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Action,Adventure,Drama
483,Thor: Ragnarok,2017,130,7.9,74,"Action, Adventure, Comedy            ","617,168",315.06,PG-13,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Action,Adventure,Comedy
112,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,"Action, Adventure, Fantasy            ","968,384",309.13,PG,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Action,Adventure,Fantasy
388,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8,63,"Action, Adventure, Fantasy            ","1,028,781",305.41,PG-13,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Action,Adventure,Fantasy
758,Skyfall,2012,143,7.7,81,"Action, Adventure, Thriller            ","639,102",304.36,PG-13,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",Action,Adventure,Thriller
630,The Hobbit: An Unexpected Journey,2012,169,7.8,58,"Adventure, Fantasy            ","768,982",303,PG-13,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",Adventure,Fantasy,
937,Harry Potter and the Half-Blood Prince,2009,153,7.6,78,"Action, Adventure, Family            ","488,141",301.96,PG,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",Action,Adventure,Family
