Temporada,Año,Posición,Equpo,Puntos,PJ,PG,PE,PP,GF,GC
2015-2016,2015,4,Chiapas,29,17,8,5,4,31,27
2015-2016,2015,5,Tigres,28,17,8,4,5,26,16
2015-2016,2015,6,América,28,17,9,1,7,30,21
2015-2016,2015,7,Puebla,27,17,8,3,6,22,20
2015-2016,2015,8,Veracruz,27,17,8,3,6,23,27
2015-2016,2015,9,Monterrey,23,17,6,5,6,32,29
2015-2016,2015,10,Morelia,23,17,7,2,8,26,26
2015-2016,2015,11,Querétaro,22,17,6,4,7,25,25
2015-2016,2015,12,Pachuca,21,17,6,3,8,30,33
2015-2016,2015,13,Chivas,21,17,6,3,8,23,26
2015-2016,2015,14,Cruz Azul,20,17,5,5,7,19,25
2015-2016,2015,15,Santos,17,17,4,5,8,21,24
2015-2016,2015,16,Atlas,17,17,5,2,10,17,28
2015-2016,2015,17,Tijuana,16,17,5,1,11,21,30
2015-2016,2015,18,Dorados,15,17,3,6,8,13,29
2014-2015,2014,1,América,31,17,9,4,4,28,18
2014-2015,2014,2,Tigres,31,17,8,7,2,25,17
2014-2015,2014,3,Atlas,31,17,9,4,4,22,20
2014-2015,2014,4,Toluca,29,17,8,5,4,24,18
2014-2015,2014,5,Chiapas,28,17,7,7,3,24,20
2014-2015,2014,6,Monterrey,27,17,8,3,6,23,20
2014-2015,2014,7,Pachuca,25,17,7,4,6,20,18
2014-2015,2014,8,Pumas,24,17,6,6,5,24,20
2014-2015,2014,9,Santos,23,17,5,8,4,23,24
2014-2015,2014,10,León,22,17,7,1,9,29,27
2014-2015,2014,11,Tijuana,21,17,4,9,4,21,19
2014-2015,2014,12,Querétaro,21,17,6,3,8,23,22
2014-2015,2014,13,Cruz Azul,21,17,5,6,6,16,15
2014-2015,2014,14,Leones Negros,17,17,3,8,6,10,16
2014-2015,2014,15,Puebla,16,17,2,10,5,15,21
2014-2015,2014,16,Chivas,16,17,3,7,7,13,20
2014-2015,2014,17,Veracruz,15,17,3,6,8,8,15
2014-2015,2014,18,Morelia,10,17,2,4,11,16,34
2013-2014,2013,1,América,37,17,11,4,2,31,12
2013-2014,2013,2,Santos,33,17,9,6,2,32,20
2013-2014,2013,3,León,30,17,8,6,3,25,14
2013-2014,2013,4,Cruz Azul,29,17,8,5,4,21,17
2013-2014,2013,5,Toluca,27,17,6,9,2,33,17
2013-2014,2013,6,Morelia,27,17,8,3,6,26,23
2013-2014,2013,7,Querétaro,26,17,7,5,5,20,19
2013-2014,2013,8,Tigres,25,17,6,7,4,23,20
2013-2014,2013,9,Chiapas,25,17,6,7,4,26,25
2013-2014,2013,10,Tijuana,21,17,5,6,6,20,23
2013-2014,2013,11,Monterrey,20,17,5,5,7,22,23
2013-2014,2013,12,Veracruz,20,17,4,8,5,20,24
2013-2014,2013,13,Puebla,19,17,4,7,6,19,21
2013-2014,2013,14,Pachuca,17,17,3,8,6,14,18
2013-2014,2013,15,Atlas,12,17,1,9,7,18,29
2013-2014,2013,16,Chivas,12,17,2,6,9,16,30
2013-2014,2013,17,Atlante,12,17,3,3,11,17,35
2013-2014,2013,18,Pumas,11,17,1,8,8,8,21
2012-2013,2012,1,Toluca,34,17,10,4,3,28,17
2012-2013,2012,2,Tijuana,34,17,9,7,1,23,15
2012-2013,2012,3,León,33,17,10,3,4,34,17
2012-2013,2012,4,América,31,17,8,7,2,28,15
2012-2013,2012,5,Morelia,27,17,6,9,2,25,16
2012-2013,2012,6,Cruz Azul,26,17,6,8,3,22,15
2012-2013,2012,7,Monterrey,23,17,5,8,4,23,23
2012-2013,2012,8,Chivas,23,17,6,5,6,17,17
2012-2013,2012,9,Santos,23,17,6,5,6,22,26
2012-2013,2012,10,Pumas,23,17,7,2,8,18,23
2012-2013,2012,11,Chiapas,22,17,6,4,7,23,24
2012-2013,2012,12,Tigres,21,17,5,6,6,23,18
2012-2013,2012,13,Pachuca,21,17,5,6,6,13,20
2012-2013,2012,14,Atlante,20,17,5,5,7,23,28
2012-2013,2012,15,San Luis,15,17,3,6,8,14,24
2012-2013,2012,16,Puebla,13,17,3,4,10,16,27
