Datos,Local,Marcador,Visita,Estadio
Jueves 13 de Mayo de 2021Temporada 2020-2021Torneo ClausuraCuartos Ida13 Mayo 2021 - 19:00 hrs.,Pachuca,3 - 1,América,Hidalgo
Jueves 13 de Mayo de 2021Temporada 2020-2021Torneo ClausuraCuartos Ida13 Mayo 2021 - 21:05 hrs.,Santos Laguna,2 - 1,Monterrey,TSM Corona
Sábado 15 de Mayo de 2021Temporada 2020-2021Torneo ClausuraCuartos Vuelta15 Mayo 2021 - 18:00 hrs.,Puebla F.C.,1 - 0,Atlas,Cuauhtémoc
Sábado 15 de Mayo de 2021Temporada 2020-2021Torneo ClausuraCuartos Vuelta15 Mayo 2021 - 20:05 hrs.,Cruz Azul,3 - 1,Toluca,Azteca
Domingo 16 de Mayo de 2021Temporada 2020-2021Torneo ClausuraCuartos Vuelta16 Mayo 2021 - 18:00 hrs.,Monterrey,1 - 1,Santos Laguna,Estadio BBVA
Domingo 16 de Mayo de 2021Temporada 2020-2021Torneo ClausuraCuartos Vuelta16 Mayo 2021 - 20:05 hrs.,América,4 - 2,Pachuca,Azteca
Miércoles 19 de Mayo de 2021Temporada 2020-2021Torneo ClausuraSemifinal Ida19 Mayo 2021 - 20:30 hrs.,Pachuca,0 - 0,Cruz Azul,Hidalgo
Jueves 20 de Mayo de 2021Temporada 2020-2021Torneo ClausuraSemifinal Ida20 Mayo 2021 - 21:00 hrs.,Santos Laguna,3 - 0,Puebla F.C.,TSM Corona
Sábado 22 de Mayo de 2021Temporada 2020-2021Torneo ClausuraSemifinal Vuelta22 Mayo 2021 - 20:00 hrs.,Cruz Azul,1 - 0,Pachuca,Azteca
Domingo 23 de Mayo de 2021Temporada 2020-2021Torneo ClausuraSemifinal Vuelta23 Mayo 2021 - 19:00 hrs.,Puebla F.C.,1 - 0,Santos Laguna,Cuauhtémoc
Jueves 27 de Mayo de 2021Temporada 2020-2021Torneo ClausuraFinal Ida27 Mayo 2021 - 21:00 hrs.,Santos Laguna,0 - 1,Cruz Azul,TSM Corona
Domingo 30 de Mayo de 2021Temporada 2020-2021Torneo ClausuraFinal Vuelta30 Mayo 2021 - 20:15 hrs.,Cruz Azul,1 - 1,Santos Laguna,Azteca
