Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year,Category,Team.1
Chiefs,375,1569,4.2,16,10,3,91T,93,24.8,5,2019,rushing,offense
Patriots,478,2037,4.3,18,12,0,34T,131,27.4,2,2018,rushing,offense
Eagles,473,2115,4.5,9,19,3,71,108,22.8,11,2017,rushing,offense
Patriots,482,1872,3.9,19,8,3,44,109,22.6,8,2016,rushing,offense
Broncos,411,1718,4.2,13,11,2,72T,85,20.7,5,2015,rushing,offense
Patriots,438,1727,3.9,13,7,1,43,96,21.9,1,2014,rushing,offense
Seahawks,509,2188,4.3,14,11,1,43,116,22.8,6,2013,rushing,offense
Ravens,444,1901,4.3,17,10,3,78,98,22.1,4,2012,rushing,offense
Giants,411,1427,3.5,17,4,0,37,84,20.4,6,2011,rushing,offense
