Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Year,Category,Team
Redskins,442,291,65.8,8.3,3666,24,8,102.1,171,38.7,53,8,88T,33,244,2012,passing,offense
Buccaneers,566,311,54.9,7.3,4144,27,17,81.8,188,33.2,57,16,95,26,161,2012,passing,offense
Seahawks,405,259,64,8,3234,27,10,100.6,153,37.8,45,11,67,33,203,2012,passing,offense
49ers,436,289,66.3,8.1,3551,23,8,101.2,172,39.4,54,8,57,41,253,2012,passing,offense
Chargers,528,338,64,6.8,3606,26,15,88.5,184,34.8,41,3,80T,49,311,2012,passing,offense
Steelers,574,354,61.7,7,4012,27,14,88.1,202,35.2,49,7,82T,37,225,2012,passing,offense
Cardinals,608,337,55.4,5.6,3383,11,21,63.1,168,27.6,36,3,53,58,378,2012,passing,offense
Eagles,618,367,59.4,6.6,4075,18,15,78.6,190,30.7,51,6,77T,48,284,2012,passing,offense
Jets,493,272,55.2,6.4,3178,14,19,68.3,162,32.9,40,6,66,47,287,2012,passing,offense
Giants,539,323,59.9,7.4,3967,26,15,87.2,187,34.7,50,10,80T,20,142,2012,passing,offense
Saints,671,423,63,7.7,5187,43,19,96.4,267,39.8,66,13,80T,26,190,2012,passing,offense
Patriots,641,402,62.7,7.6,4844,34,9,97.7,256,39.9,57,8,83T,27,182,2012,passing,offense
Vikings,483,300,62.1,6.1,2935,18,12,81.2,163,33.7,28,3,65,32,184,2012,passing,offense
Dolphins,504,293,58.1,6.8,3425,13,13,76.7,158,31.3,42,3,80T,37,243,2012,passing,offense
Raiders,629,376,59.8,6.8,4292,24,16,82.4,200,31.8,52,10,64T,27,208,2012,passing,offense
Rams,557,332,59.6,6.8,3783,22,14,82.7,189,33.9,43,8,80T,35,233,2012,passing,offense
Chiefs,475,273,57.5,6.2,2937,8,20,63.8,144,30.3,36,3,57,40,224,2012,passing,offense
Jaguars,586,328,56,6.4,3746,20,17,74.7,157,26.8,48,8,81T,50,327,2012,passing,offense
Colts,628,339,54,7,4374,23,18,76.4,208,33.1,65,11,70T,41,246,2012,passing,offense
Texans,554,354,63.9,7.3,4046,22,13,89.2,205,37,46,8,60T,28,216,2012,passing,offense
Titans,540,318,58.9,6.6,3577,17,16,76.9,166,30.7,42,7,71T,39,254,2012,passing,offense
Packers,558,374,67,7.8,4342,40,8,108.3,213,38.2,55,9,73,51,293,2012,passing,offense
Lions,740,445,60.1,6.9,5139,22,17,81.5,272,36.8,67,10,57,29,212,2012,passing,offense
Broncos,588,402,68.4,7.9,4671,37,11,105.3,232,39.5,64,7,71T,21,137,2012,passing,offense
Cowboys,658,434,66,7.6,4992,29,19,91.3,237,36,55,9,85T,36,263,2012,passing,offense
Browns,566,328,58,6.5,3668,16,18,73.5,185,32.7,50,6,71T,36,233,2012,passing,offense
Bengals,540,335,62,7.1,3807,28,16,88.1,173,32,39,14,73T,46,229,2012,passing,offense
Bears,485,287,59.2,6.8,3298,21,16,80.4,163,33.6,39,6,60T,44,299,2012,passing,offense
Panthers,490,284,58,8,3927,19,12,86.5,171,34.9,58,11,82,36,244,2012,passing,offense
Bills,511,309,60.5,6.7,3430,24,17,82.2,176,34.4,44,7,68T,30,161,2012,passing,offense
Ravens,560,334,59.6,7.1,3996,22,11,86.4,182,32.5,62,12,61T,38,257,2012,passing,offense
Falcons,615,422,68.6,7.7,4719,32,14,99.1,246,40,46,10,80T,28,210,2012,passing,offense
