Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year,Category,Team
Redskins,421,1722,4.1,11,9,3,65T,77,18.3,12,2014,rushing,defense
Buccaneers,468,1819,3.9,15,10,3,57,103,22,8,2014,rushing,defense
Seahawks,380,1304,3.4,8,7,1,47,70,18.4,10,2014,rushing,defense
49ers,402,1612,4,7,10,0,37T,83,20.6,4,2014,rushing,defense
Chargers,438,1986,4.5,11,12,3,90T,98,22.4,10,2014,rushing,defense
Steelers,368,1605,4.4,9,11,1,41,88,23.9,9,2014,rushing,defense
Cardinals,396,1739,4.4,9,13,5,79T,77,19.4,4,2014,rushing,defense
Eagles,473,1771,3.7,14,9,0,37,88,18.6,10,2014,rushing,defense
Jets,393,1489,3.8,10,7,2,97T,74,18.8,5,2014,rushing,defense
Giants,438,2162,4.9,15,17,2,46,112,25.6,10,2014,rushing,defense
Saints,442,2125,4.8,17,19,3,69T,111,25.1,5,2014,rushing,defense
Patriots,419,1669,4,6,2,1,48,88,21,6,2014,rushing,defense
Vikings,450,1943,4.3,10,6,2,53,100,22.2,3,2014,rushing,defense
Dolphins,453,1937,4.3,13,16,4,47,99,21.9,7,2014,rushing,defense
Raiders,481,1911,4,17,8,3,89T,95,19.8,7,2014,rushing,defense
Rams,425,1765,4.2,12,13,4,67T,83,19.5,13,2014,rushing,defense
Chiefs,433,2036,4.7,4,8,1,90T,108,24.9,4,2014,rushing,defense
Jaguars,499,2033,4.1,15,16,4,60T,107,21.4,4,2014,rushing,defense
Colts,423,1814,4.3,14,11,1,52,103,24.3,9,2014,rushing,defense
Texans,420,1681,4,6,11,1,41,89,21.2,8,2014,rushing,defense
Titans,515,2195,4.3,17,9,4,62T,119,23.1,2,2014,rushing,defense
Packers,449,1919,4.3,11,6,1,40,116,25.8,11,2014,rushing,defense
Lions,350,1109,3.2,8,7,0,35T,59,16.9,6,2014,rushing,defense
Broncos,349,1276,3.7,9,7,1,85T,60,17.2,3,2014,rushing,defense
Cowboys,392,1650,4.2,18,12,1,62,86,21.9,2,2014,rushing,defense
Browns,500,2265,4.5,13,16,0,38T,126,25.2,6,2014,rushing,defense
Bengals,439,1861,4.2,16,7,2,53,105,23.9,7,2014,rushing,defense
Bears,421,1803,4.3,12,10,3,48,78,18.5,5,2014,rushing,defense
Panthers,397,1792,4.5,14,10,5,89T,91,22.9,6,2014,rushing,defense
Bills,414,1703,4.1,10,10,1,47,89,21.5,6,2014,rushing,defense
Ravens,390,1412,3.6,8,8,1,67,75,19.2,8,2014,rushing,defense
Falcons,450,1894,4.2,21,9,2,55,108,24,5,2014,rushing,defense
