Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Year,Category,Team
Redskins,566,354,62.5,7.8,4128,30,11,96.1,202,35.7,58,12,62T,38,2015,passing,defense
Buccaneers,540,378,70,7.5,3840,31,11,102.5,208,38.5,45,5,60T,38,2015,passing,defense
Seahawks,548,333,60.8,6.6,3364,14,14,78.1,175,31.9,49,5,69T,37,2015,passing,defense
49ers,549,375,68.3,8,4179,21,9,98.1,199,36.2,58,13,66T,28,2015,passing,defense
Chargers,510,328,64.3,7.9,3786,22,11,93.8,170,33.3,54,12,72T,32,2015,passing,defense
Steelers,625,402,64.3,7.5,4350,29,17,90.9,231,37,52,12,80T,48,2015,passing,defense
Cardinals,573,343,59.9,6.9,3687,24,19,80.9,177,30.9,56,14,88T,36,2015,passing,defense
Eagles,633,394,62.2,7.1,4273,36,15,92.8,239,37.8,55,9,59,37,2015,passing,defense
Jets,601,343,57.1,6.7,3763,25,18,79,185,30.8,59,11,72T,39,2015,passing,defense
Giants,638,423,66.3,7.7,4783,31,15,95.9,236,37,62,11,76T,23,2015,passing,defense
Saints,544,372,68.4,8.7,4544,45,9,116.2,223,41,64,17,90T,31,2015,passing,defense
Patriots,596,361,60.6,7.1,3851,24,12,87,204,34.2,57,9,87T,49,2015,passing,defense
Vikings,561,359,64,7.2,3759,24,13,90,189,33.7,47,10,72T,43,2015,passing,defense
Dolphins,542,350,64.6,7.8,4000,31,13,97.4,203,37.5,53,13,84T,31,2015,passing,defense
Raiders,641,404,63,6.8,4140,25,14,86.8,206,32.1,56,7,59,38,2015,passing,defense
Rams,597,399,66.8,7.2,4065,21,13,90.4,192,32.2,51,8,87T,41,2015,passing,defense
Chiefs,607,349,57.5,6.6,3698,25,22,76,193,31.8,46,9,55T,47,2015,passing,defense
Jaguars,602,390,64.8,7.5,4291,29,9,97.2,222,36.9,54,10,71T,36,2015,passing,defense
Colts,585,354,60.5,7.5,4114,29,17,88,210,35.9,64,12,80T,35,2015,passing,defense
Texans,553,326,59,6.6,3366,24,14,82.8,173,31.3,48,12,55,45,2015,passing,defense
Titans,502,319,63.5,7.9,3678,34,11,101.3,192,38.2,47,12,69T,39,2015,passing,defense
Packers,551,321,58.3,7.1,3642,20,16,80.1,183,33.2,46,14,68,43,2015,passing,defense
Lions,528,360,68.2,7.7,3786,27,9,100.9,191,36.2,59,11,61T,43,2015,passing,defense
Broncos,573,344,60,6.2,3193,19,14,78.8,162,28.3,41,5,80T,52,2015,passing,defense
Cowboys,506,330,65.2,7.6,3632,19,8,94.2,172,34,54,10,80T,31,2015,passing,defense
Browns,511,322,63,8.2,4012,34,11,101.8,186,36.4,52,16,75T,29,2015,passing,defense
Bengals,646,415,64.2,6.6,3976,18,21,78.9,202,31.3,39,6,64T,42,2015,passing,defense
Bears,512,322,62.9,7.5,3593,31,8,99.3,182,35.5,52,10,71T,35,2015,passing,defense
Panthers,650,390,60,6.2,3752,21,24,73.5,198,30.5,53,10,70T,44,2015,passing,defense
Bills,602,347,57.6,6.8,3972,30,17,83.3,197,32.7,59,11,77T,21,2015,passing,defense
Ravens,545,350,64.2,7.3,3737,30,6,99.6,189,34.7,51,10,80T,37,2015,passing,defense
Falcons,561,370,66,7.1,3882,19,15,86.9,197,35.1,50,5,74T,19,2015,passing,defense
