Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year,Category,Team
Redskins,443,1769,4,23,11,3,50T,102,23,8,2013,rushing,defense
Buccaneers,438,1762,4,10,11,3,56,95,21.7,6,2013,rushing,defense
Seahawks,422,1626,3.9,4,6,1,51,83,19.7,7,2013,rushing,defense
49ers,397,1535,3.9,11,5,0,30,77,19.4,6,2013,rushing,defense
Chargers,376,1725,4.6,14,6,1,46,98,26.1,4,2013,rushing,defense
Steelers,433,1849,4.3,18,7,5,93T,106,24.5,7,2013,rushing,defense
Cardinals,370,1351,3.7,5,10,1,56,68,18.4,6,2013,rushing,defense
Eagles,443,1668,3.8,12,7,0,35,100,22.6,15,2013,rushing,defense
Jets,421,1412,3.4,9,6,2,63T,68,16.2,5,2013,rushing,defense
Giants,454,1743,3.8,12,7,0,34,101,22.2,6,2013,rushing,defense
Saints,387,1786,4.6,11,15,4,52,82,21.2,3,2013,rushing,defense
Patriots,481,2145,4.5,11,10,0,34,110,22.9,6,2013,rushing,defense
Vikings,443,1767,4,14,14,1,41,101,22.8,7,2013,rushing,defense
Dolphins,484,1998,4.1,14,8,1,51,114,23.6,5,2013,rushing,defense
Raiders,442,1727,3.9,15,5,1,45,100,22.6,6,2013,rushing,defense
Rams,440,1646,3.7,18,12,1,41,87,19.8,8,2013,rushing,defense
Chiefs,428,1923,4.5,9,15,6,61,88,20.6,4,2013,rushing,defense
Jaguars,507,2108,4.2,20,14,2,50,121,23.9,10,2013,rushing,defense
Colts,448,2002,4.5,14,12,1,56,101,22.5,8,2013,rushing,defense
Texans,454,1958,4.3,11,15,4,80T,88,19.4,7,2013,rushing,defense
Titans,446,1795,4,21,9,1,60,108,24.2,9,2013,rushing,defense
Packers,432,2000,4.6,16,16,1,41,116,26.9,3,2013,rushing,defense
Lions,377,1596,4.2,10,14,7,78T,62,16.4,10,2013,rushing,defense
Broncos,420,1626,3.9,15,13,0,35,90,21.4,9,2013,rushing,defense
Cowboys,437,2056,4.7,17,8,3,60,122,27.9,4,2013,rushing,defense
Browns,462,1781,3.9,13,8,2,54T,103,22.3,4,2013,rushing,defense
Bengals,385,1544,4,6,6,3,51,72,18.7,4,2013,rushing,defense
Bears,483,2583,5.3,22,18,5,65T,147,30.4,11,2013,rushing,defense
Panthers,352,1391,4,4,8,1,46,70,19.9,5,2013,rushing,defense
Bills,471,2063,4.4,10,19,2,80T,98,20.8,7,2013,rushing,defense
Ravens,440,1687,3.8,7,5,2,43,79,18,6,2013,rushing,defense
Falcons,455,2173,4.8,14,14,6,80T,102,22.4,5,2013,rushing,defense
