Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year,Category,Team
Redskins,363,1532,4.2,11,9,2,53,89,24.5,7,2012,rushing,defense
Buccaneers,377,1320,3.5,13,8,1,64T,75,19.9,3,2012,rushing,defense
Seahawks,368,1649,4.5,8,10,1,74,80,21.7,8,2012,rushing,defense
49ers,407,1507,3.7,7,9,0,35,72,17.7,5,2012,rushing,defense
Chargers,406,1542,3.8,10,6,1,41,85,20.9,9,2012,rushing,defense
Steelers,391,1450,3.7,9,6,1,64T,78,19.9,6,2012,rushing,defense
Cardinals,506,2192,4.3,12,14,1,46,107,21.1,5,2012,rushing,defense
Eagles,479,2021,4.2,11,13,2,43,108,22.5,7,2012,rushing,defense
Jets,495,2138,4.3,17,12,5,94T,96,19.4,7,2012,rushing,defense
Giants,449,2066,4.6,9,10,3,78,104,23.2,8,2012,rushing,defense
Saints,457,2361,5.2,18,19,7,91T,116,25.4,6,2012,rushing,defense
Patriots,415,1630,3.9,10,5,0,31,100,24.1,19,2012,rushing,defense
Vikings,427,1692,4,10,6,2,76T,82,19.2,8,2012,rushing,defense
Dolphins,431,1734,4,10,11,3,62,79,18.3,3,2012,rushing,defense
Raiders,444,1897,4.3,18,13,5,70T,95,21.4,3,2012,rushing,defense
Rams,442,1880,4.3,18,12,4,82T,107,24.2,4,2012,rushing,defense
Chiefs,482,2171,4.5,11,19,2,47,106,22,7,2012,rushing,defense
Jaguars,545,2256,4.1,19,9,4,53,133,24.4,4,2012,rushing,defense
Colts,428,2200,5.1,14,21,7,86T,102,23.8,4,2012,rushing,defense
Texans,390,1560,4,5,13,0,29,94,24.1,10,2012,rushing,defense
Titans,483,2035,4.2,16,6,1,46,122,25.3,6,2012,rushing,defense
Packers,418,1896,4.5,12,13,2,82T,83,19.9,3,2012,rushing,defense
Lions,420,1889,4.5,13,12,3,81T,107,25.5,4,2012,rushing,defense
Broncos,404,1458,3.6,5,5,0,36,73,18.1,6,2012,rushing,defense
Cowboys,441,2003,4.5,17,15,1,43,92,20.9,4,2012,rushing,defense
Browns,457,1898,4.2,14,9,2,80T,104,22.8,9,2012,rushing,defense
Bengals,423,1715,4.1,13,8,0,32T,99,23.4,8,2012,rushing,defense
Bears,388,1627,4.2,6,10,2,80T,75,19.3,12,2012,rushing,defense
Panthers,416,1761,4.2,11,9,2,65T,98,23.6,7,2012,rushing,defense
Bills,470,2333,5,23,19,2,83T,136,28.9,11,2012,rushing,defense
Ravens,492,1965,4,15,8,0,31T,105,21.3,11,2012,rushing,defense
Falcons,411,1971,4.8,16,16,8,72T,99,24.1,8,2012,rushing,defense
