Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Year,Category,Team
Redskins,509,308,60.5,7.5,3553,22,13,87.4,180,35.4,58,9,73T,41,2011,passing,defense
Buccaneers,481,301,62.6,8.2,3814,30,14,97.2,188,39.1,50,12,91T,23,2011,passing,defense
Seahawks,543,324,59.7,6.9,3518,18,22,74.8,174,32,43,10,68T,33,2011,passing,defense
49ers,579,333,57.5,6.9,3695,20,23,73.6,190,32.8,48,12,77,42,2011,passing,defense
Chargers,478,299,62.6,7.9,3591,29,17,92.5,186,38.9,53,10,78,32,2011,passing,defense
Steelers,530,289,54.5,5.6,2751,15,11,71.7,156,29.4,34,2,73T,35,2011,passing,defense
Cardinals,578,340,58.8,6.9,3696,17,10,82.5,174,30.1,58,7,95T,42,2011,passing,defense
Eagles,518,301,58.1,7.2,3397,27,15,85.7,173,33.4,53,13,74T,50,2011,passing,defense
Jets,507,275,54.2,6.7,3216,15,19,69.6,167,32.9,43,10,99T,35,2011,passing,defense
Giants,589,361,61.3,7.5,4082,28,20,86.1,210,35.7,60,7,74,48,2011,passing,defense
Saints,626,362,57.8,7,4157,24,9,86.4,196,31.3,49,14,72T,33,2011,passing,defense
Patriots,619,386,62.4,8,4703,26,23,86.1,245,39.6,79,9,58,40,2011,passing,defense
Vikings,538,367,68.2,8.1,4019,34,8,107.6,213,39.6,55,13,79T,50,2011,passing,defense
Dolphins,590,350,59.3,7.2,3992,24,16,83.7,198,33.6,63,10,99T,41,2011,passing,defense
Raiders,601,324,53.9,7.1,4023,31,18,81.3,206,34.3,58,11,81,39,2011,passing,defense
Rams,484,293,60.5,7.4,3301,21,12,87.3,166,34.3,49,12,93T,39,2011,passing,defense
Chiefs,454,257,56.6,7.5,3221,23,20,79.1,169,37.2,55,8,67T,29,2011,passing,defense
Jaguars,513,326,63.5,6.9,3341,21,17,83.7,175,34.1,43,7,80T,31,2011,passing,defense
Colts,493,351,71.2,7.8,3632,25,8,103.9,193,39.1,45,6,81T,29,2011,passing,defense
Texans,538,279,51.9,6.2,3035,18,17,69,166,30.9,45,6,56,44,2011,passing,defense
Titans,591,369,62.4,6.4,3629,21,11,85.1,187,31.6,54,4,78T,28,2011,passing,defense
Packers,637,390,61.2,7.8,4796,29,31,80.6,246,38.6,71,10,72,29,2011,passing,defense
Lions,604,376,62.3,6.8,3831,26,21,82.1,195,32.3,46,9,80T,41,2011,passing,defense
Broncos,534,333,62.4,7.5,3704,24,9,93.1,182,34.1,46,13,84,41,2011,passing,defense
Cowboys,545,336,61.7,7.6,3906,24,15,88.4,199,36.5,57,9,74T,42,2011,passing,defense
Browns,469,265,56.5,6.7,2959,16,9,80.6,149,31.8,43,8,80T,32,2011,passing,defense
Bengals,539,319,59.2,6.8,3385,21,10,85,170,31.5,47,7,74T,45,2011,passing,defense
Bears,631,383,60.7,6.8,4065,22,20,79.3,199,31.5,49,9,79T,33,2011,passing,defense
Panthers,490,318,64.9,8.4,3949,28,14,98.3,191,39,52,11,84T,31,2011,passing,defense
Bills,507,321,63.3,7.7,3714,30,20,90.4,196,38.7,48,11,65T,29,2011,passing,defense
Ravens,535,288,53.8,6.4,3140,11,15,68.8,166,31,46,8,66,48,2011,passing,defense
Falcons,560,340,60.7,7.2,3786,25,19,83.3,186,33.2,56,12,70T,33,2011,passing,defense
