Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year,Category,Team
Redskins,519,2709,5.2,22,16,2,76T,144,27.7,13,2012,rushing,offense
Buccaneers,416,1837,4.4,13,12,5,70T,89,21.4,3,2012,rushing,offense
Seahawks,536,2579,4.8,16,14,2,77T,129,24.1,7,2012,rushing,offense
49ers,492,2491,5.1,17,17,2,50T,128,26,11,2012,rushing,offense
Chargers,411,1461,3.6,4,4,1,52,81,19.7,5,2012,rushing,offense
Steelers,412,1537,3.7,8,8,0,34,80,19.4,8,2012,rushing,offense
Cardinals,352,1204,3.4,10,9,3,52,58,16.5,6,2012,rushing,offense
Eagles,413,1874,4.5,10,14,2,65T,111,26.9,18,2012,rushing,offense
Jets,494,1896,3.8,12,5,1,61,102,20.6,9,2012,rushing,offense
Giants,409,1862,4.6,18,13,2,52T,103,25.2,6,2012,rushing,offense
Saints,370,1577,4.3,10,11,3,56T,64,17.3,0,2012,rushing,offense
Patriots,523,2184,4.2,25,11,2,47,151,28.9,6,2012,rushing,offense
Vikings,486,2634,5.4,16,33,8,82T,113,23.3,9,2012,rushing,offense
Dolphins,440,1802,4.1,15,13,2,65T,93,21.1,13,2012,rushing,offense
Raiders,376,1420,3.8,4,8,3,64T,72,19.1,4,2012,rushing,offense
Rams,410,1714,4.2,5,10,3,53,79,19.3,5,2012,rushing,offense
Chiefs,500,2395,4.8,9,13,5,91T,118,23.6,11,2012,rushing,offense
Jaguars,358,1369,3.8,5,6,1,59T,76,21.2,8,2012,rushing,offense
Colts,440,1671,3.8,11,5,0,26,110,25,5,2012,rushing,offense
Texans,508,2123,4.2,19,15,2,81T,114,22.4,5,2012,rushing,offense
Titans,378,1687,4.5,10,13,3,94T,70,18.5,6,2012,rushing,offense
Packers,433,1702,3.9,9,8,1,41,85,19.6,4,2012,rushing,offense
Lions,391,1613,4.1,17,4,1,67,84,21.5,7,2012,rushing,offense
Broncos,481,1832,3.8,12,7,0,31,112,23.3,8,2012,rushing,offense
Cowboys,355,1265,3.6,8,6,1,48,76,21.4,6,2012,rushing,offense
Browns,396,1593,4,12,7,0,35,71,17.9,8,2012,rushing,offense
Bengals,430,1745,4.1,11,13,3,48,95,22.1,4,2012,rushing,offense
Bears,470,1970,4.2,11,11,2,46T,99,21.1,4,2012,rushing,offense
Panthers,462,2088,4.5,21,17,4,72T,123,26.6,8,2012,rushing,offense
Bills,442,2217,5,12,15,5,62,103,23.3,7,2012,rushing,offense
Ravens,444,1901,4.3,17,10,3,78,98,22.1,4,2012,rushing,offense
Falcons,378,1397,3.7,12,7,2,43,70,18.5,4,2012,rushing,offense
